Date,Open,High,Low,Close,Adj Close,Volume
2018/2/26,108,109.809998,107.669998,109.809998,108.095879,8138200
2018/2/27,108,108.160004,104.849998,104.870003,103.232994,14179600
2018/2/28,105.449997,105.57,103.139999,103.160004,101.54969,10760800
2018/3/1,103.199997,104.029999,101.330002,102.57,100.968887,10487300
2018/3/2,102,103.169998,101.440002,102.989998,101.382339,7835400
2018/3/5,102.709999,103.970001,102.419998,103.410004,101.795784,5736700
2018/3/6,104,104.949997,103.510002,104.940002,103.301895,6216200
2018/3/7,103.720001,104.239998,102.769997,103.589996,101.972969,6214800
2018/3/8,103.989998,104.589996,103.470001,104.029999,102.406105,6627000
2018/3/9,104.43,104.75,103.639999,104.730003,103.095177,5618400
2018/3/12,104.720001,105.940002,104.720001,105.169998,103.528305,6485300
2018/3/13,105.830002,105.830002,103.419998,103.730003,102.110786,6716700
2018/3/14,104.529999,104.650002,103.470001,103.900002,102.278137,6235900
2018/3/15,104,104.290001,103.239998,103.239998,101.628441,5174600
2018/3/16,103.559998,104.269997,102.839996,102.870003,101.264214,10468000
2018/3/19,102.800003,102.949997,101,101.480003,99.895912,6528300
2018/3/20,101.540001,102.150002,100.75,101.349998,99.767937,8330300
2018/3/21,101.5,102.940002,101.419998,101.82,100.230598,6136400
2018/3/22,101.290001,101.639999,100.410004,100.599998,99.029648,8911600
2018/3/23,100.849998,101.110001,98.449997,98.540001,97.001801,7505100
2018/3/26,99.860001,100.779999,99.080002,100.650002,99.078873,7340100
2018/3/27,100.879997,101.18,98.889999,99.360001,97.809006,7193500
2018/3/28,99.5,100.080002,98.150002,98.540001,97.001801,9099700
2018/3/29,99.010002,101.279999,98.860001,100.440002,98.872147,9343600
2018/4/2,100.18,100.989998,97.779999,98.660004,97.119934,8203700
2018/4/3,98.800003,99.489998,97.699997,99.419998,97.868065,8484700
2018/4/4,98.43,101.150002,97.760002,100.949997,99.374184,8759200
2018/4/5,101.360001,102.379997,100.980003,102.110001,100.516083,6612800
2018/4/6,101.629997,102.190002,99.449997,100.349998,98.783546,7162400
2018/4/9,100.699997,101.510002,99.580002,99.699997,98.143692,7094300
2018/4/10,100.919998,101.529999,100.32,101.370003,99.787628,8116800
2018/4/11,100.779999,101.650002,100.410004,100.800003,99.226524,6305000
2018/4/12,101.419998,101.510002,99.68,100.389999,98.822922,7337800
2018/4/13,101,101.519997,100.160004,100.349998,98.783546,6324600
2018/4/16,100.690002,101,99.730003,100.239998,98.675262,10328000
2018/4/17,101.199997,102.589996,100.75,102.169998,100.575134,9577400
